wc,alpha,logloss,n
1998,0.0,0.9584489361912218,60
1998,0.0003,0.9583847189086082,60
1998,0.001,0.9582381879638528,60
1998,0.003,0.9578695428656209,60
1998,0.01,0.9566744048221383,60
1998,0.03,0.9614398369582647,60
1998,0.1,0.9723226653071779,60
1998,elo_only,0.9789244400625187,60
2002,0.0,1.0332690867119858,64
2002,0.0003,1.0334521665786476,64
2002,0.001,1.0332218286092196,64
2002,0.003,1.0330439278727517,64
2002,0.01,1.0317400630006714,64
2002,0.03,1.03167726630858,64
2002,0.1,1.0313082341910518,64
2002,elo_only,1.055196570931459,64
2006,0.0,0.8769854737174603,64
2006,0.0003,0.8769773316247915,64
2006,0.001,0.8797465802213411,64
2006,0.003,0.8793034155678529,64
2006,0.01,0.8789951685410817,64
2006,0.03,0.8833646546888607,64
2006,0.1,0.8966099502496054,64
2006,elo_only,0.8944963630371854,64
2010,0.0,0.9806869238321801,64
2010,0.0003,0.9803522747186251,64
2010,0.001,0.9795834342071716,64
2010,0.003,0.9776970231431243,64
2010,0.01,0.9727816732944324,64
2010,0.03,0.9637344489219569,64
2010,0.1,0.9667195150979845,64
2010,elo_only,0.9716310903641943,64
2014,0.0,0.9142994787919292,64
2014,0.0003,0.9141508855472272,64
2014,0.001,0.9137979735540491,64
2014,0.003,0.9128988408020436,64
2014,0.01,0.9137683669647952,64
2014,0.03,0.919750481331141,64
2014,0.1,0.92046690763566,64
2014,elo_only,0.8981574878169316,64
2018,0.0,0.9699838319904687,64
2018,0.0003,0.9699442589089929,64
2018,0.001,0.9695104135304496,64
2018,0.003,0.9683501881953563,64
2018,0.01,0.9674012363060478,64
2018,0.03,0.96415680486275,64
2018,0.1,0.968784448640909,64
2018,elo_only,0.9846423458911178,64
2022,0.0,1.0530560650054468,64
2022,0.0003,1.053328533036455,64
2022,0.001,1.053441133078501,64
2022,0.003,1.0537903165439655,64
2022,0.01,1.058492633352727,64
2022,0.03,1.0605700965248857,64
2022,0.1,1.0518128453079814,64
2022,elo_only,1.0621607863053826,64
